Day	plate	Row	Col	medium	protist	bacteria 	state	ind./cm^2
1	1	D	3	2%KB	NO	F	NA	0
1	1	D	2	2%KB	P3	D	active	1625
1	1	D	2	2%KB	P3	D	cyst	0
1	1	D	1	NA	NA	NA	NA	0
1	1	E	1	2%KB	P3	G	active	3927
1	1	E	1	2%KB	P3	G	cyst	813
1	1	E	2	PAS	P3	B	active	677
1	1	E	2	PAS	P3	B	cyst	813
1	1	E	3	2%KB	P1	B	active	135
1	1	E	3	2%KB	P1	B	cyst	0
1	1	E	4	2%KB	P4	D	active	542
1	1	E	4	2%KB	P4	D	cyst	0
1	1	E	5	2%KB	P4	A	active	0
1	1	E	5	2%KB	P4	A	cyst	135
1	1	E	6	NA	NA	NA	NA	0
1	1	E	7	2%KB	P4	C	active	271
1	1	E	7	2%KB	P4	C	cyst	0
1	1	E	8	2%KB	P1	D	active	406
1	1	E	8	2%KB	P1	D	cyst	0
1	1	E	9	2%KB	P4	A	active	135
1	1	E	9	2%KB	P4	A	cyst	0
1	1	E	10	2%KB	P3	A	active	406
1	1	E	10	2%KB	P3	A	cyst	0
1	1	E	11	NA	NA	NA	NA	0
1	1	E	12	PAS	P3	G	active	1625
1	1	E	12	PAS	P3	G	cyst	542
1	1	F	12	PAS	NO	B	NA	0
1	1	F	11	2%KB	P4	I	active	0
1	1	F	11	2%KB	P4	I	cyst	0
1	1	F	10	NA	NA	NA	NA	0
1	1	F	9	2%KB	P5	E	active	0
1	1	F	9	2%KB	P5	E	cyst	0
1	1	F	8	NA	NA	NA	NA	0
1	1	F	7	PAS	NO	E	NA	0
1	1	F	6	PAS	P4	I	active	677
1	1	F	6	PAS	P4	I	cyst	0
1	1	F	5	PAS	P6	C	active	1354
1	1	F	5	PAS	P6	C	cyst	0
1	1	F	4	NA	NA	NA	NA	0
1	1	F	3	2%KB	NO	E	NA	0
1	1	F	2	PAS	NO	C	NA	0
1	1	F	1	2%KB	P6	B	active	1083
1	1	F	1	2%KB	P6	B	cyst	0
1	1	G	1	PAS	P2	E	active	1896
1	1	G	1	PAS	P2	E	cyst	0
1	1	G	2	2%KB	P6	E	active	2167
1	1	G	2	2%KB	P6	E	cyst	0
1	1	G	3	2%KB	P1	C	active	1354
1	1	G	3	2%KB	P1	C	cyst	0
1	1	G	4	2%KB	P1	A	active	3115
1	1	G	4	2%KB	P1	A	cyst	0
1	1	G	5	2%KB	P5	F	active	0
1	1	G	5	2%KB	P5	F	cyst	0
1	1	G	6	NA	NA	NA	NA	0
1	1	G	7	2%KB	P1	NO	active	1490
1	1	G	7	2%KB	P1	NO	cyst	0
1	1	G	8	2%KB	P3	H	active	0
1	1	G	8	2%KB	P3	H	cyst	2708
1	1	G	9	PAS	NO	I	NA	0
1	1	G	10	2%KB	P5	B	active	0
1	1	G	10	2%KB	P5	B	cyst	0
1	1	G	11	PAS	P1	F	active	5552
1	1	G	11	PAS	P1	F	cyst	271
1	1	G	12	PAS	P5	G	active	0
1	1	G	12	PAS	P5	G	cyst	0
1	1	H	12	2%KB	P3	E	active	1354
1	1	H	12	2%KB	P3	E	cyst	0
1	1	H	11	NA	NA	NA	NA	0
1	1	H	10	PAS	NO	G	NA	0
1	1	H	9	2%KB	P6	A	active	677
1	1	H	9	2%KB	P6	A	cyst	0
1	1	H	8	PAS	P6	H	active	1354
1	1	H	8	PAS	P6	H	cyst	0
1	1	H	7	2%KB	P5	F	active	0
1	1	H	7	2%KB	P5	F	cyst	0
1	1	H	6	NA	NA	NA	NA	0
1	1	H	5	NA	NA	NA	NA	0
1	1	H	4	PAS	P6	A	active	135
1	1	H	4	PAS	P6	A	cyst	0
1	1	H	3	2%KB	NO	G	NA	0
1	1	H	2	2%KB	NO	B	NA	0
1	1	H	1	NA	NA	NA	NA	0
1	2	A	1	2%KB	P1	B	active	0
1	2	A	1	2%KB	P1	B	cyst	0
1	2	A	2	NA	NA	NA	NA	0
1	2	A	3	2%KB	P2	NO	active	406
1	2	A	3	2%KB	P2	NO	cyst	0
1	2	A	4	2%KB	P6	C	active	1083
1	2	A	4	2%KB	P6	C	cyst	0
1	2	A	5	NA	NA	NA	NA	0
1	2	A	6	PAS	P3	I	active	948
1	2	A	6	PAS	P3	I	cyst	542
1	2	A	7	2%KB	P4	G	active	1219
1	2	A	7	2%KB	P4	G	cyst	271
1	2	A	8	NA	NA	NA	NA	0
1	2	A	9	PAS	NO	D	NA	0
1	2	A	10	2%KB	P4	NO	active	135
1	2	A	10	2%KB	P4	NO	cyst	135
1	2	A	11	2%KB	P5	E	active	0
1	2	A	11	2%KB	P5	E	cyst	0
1	2	A	12	PAS	Blank	Blank	NA	0
1	2	B	12	2%KB	P5	C	active	0
1	2	B	12	2%KB	P5	C	cyst	0
1	2	B	11	2%KB	P5	D	active	0
1	2	B	11	2%KB	P5	D	cyst	0
1	2	B	10	2%KB	P2	E	active	1896
1	2	B	10	2%KB	P2	E	cyst	0
1	2	B	9	2%KB	P5	A	active	0
1	2	B	9	2%KB	P5	A	cyst	0
1	2	B	8	NA	NA	NA	NA	0
1	2	B	7	PAS	P5	E	active	135
1	2	B	7	PAS	P5	E	cyst	135
1	2	B	6	2%KB	P4	H	active	135
1	2	B	6	2%KB	P4	H	cyst	0
1	2	B	5	2%KB	P2	H	active	0
1	2	B	5	2%KB	P2	H	cyst	0
1	2	B	4	PAS	P1	I	active	2031
1	2	B	4	PAS	P1	I	cyst	0
1	2	B	3	PAS	P6	E	active	2302
1	2	B	3	PAS	P6	E	cyst	0
1	2	B	2	2%KB	NO	I	NA	0
1	2	B	1	PAS	P4	I	active	135
1	2	B	1	PAS	P4	I	cyst	135
1	2	C	1	2%KB	P3	F	active	2573
1	2	C	1	2%KB	P3	F	cyst	271
1	2	C	2	PAS	P6	F	active	2302
1	2	C	2	PAS	P6	F	cyst	0
1	2	C	3	PAS	P5	I	active	0
1	2	C	3	PAS	P5	I	cyst	0
1	2	C	4	NA	NA	NA	NA	0
1	2	C	5	2%KB	P1	E	active	2438
1	2	C	5	2%KB	P1	E	cyst	0
1	2	C	6	2%KB	P5	G	active	135
1	2	C	6	2%KB	P5	G	cyst	0
1	2	C	7	2%KB	NO	D	NA	0
1	2	C	8	2%KB	P5	I	active	0
1	2	C	8	2%KB	P5	I	cyst	0
1	2	C	9	2%KB	P4	A	active	0
1	2	C	9	2%KB	P4	A	cyst	0
1	2	C	10	2%KB	P5	NO	active	0
1	2	C	10	2%KB	P5	NO	cyst	0
1	2	C	11	2%KB	P2	A	active	406
1	2	C	11	2%KB	P2	A	cyst	0
1	2	C	12	NA	NA	NA	NA	0
1	2	D	12	PAS	P2	G	active	2438
1	2	D	12	PAS	P2	G	cyst	0
1	2	D	11	2%KB	P3	I	active	813
1	2	D	11	2%KB	P3	I	cyst	135
1	2	D	10	PAS	P1	H	active	1625
1	2	D	10	PAS	P1	H	cyst	0
1	2	D	9	2%KB	P5	F	active	0
1	2	D	9	2%KB	P5	F	cyst	0
1	2	D	8	PAS	P3	D	active	0
1	2	D	8	PAS	P3	D	cyst	406
1	2	D	7	2%KB	P3	E	active	948
1	2	D	7	2%KB	P3	E	cyst	0
1	2	D	6	PAS	P3	E	active	948
1	2	D	6	PAS	P3	E	cyst	542
1	2	D	5	2%KB	P1	I	active	0
1	2	D	5	2%KB	P1	I	cyst	0
1	2	D	4	2%KB	NO	I	NA	0
1	2	D	3	PAS	P5	A	active	0
1	2	D	3	PAS	P5	A	cyst	135
1	2	D	2	NA	NA	NA	NA	0
1	2	D	1	PAS	P5	NO	active	0
1	2	D	1	PAS	P5	NO	cyst	0
1	2	E	1	2%KB	P4	A	active	135
1	2	E	1	2%KB	P4	A	cyst	0
1	2	E	2	2%KB	P3	A	active	406
1	2	E	2	2%KB	P3	A	cyst	677
1	2	E	3	2%KB	NO	F	NA	0
1	2	E	4	PAS	P2	I	active	948
1	2	E	4	PAS	P2	I	cyst	0
1	2	E	5	2%KB	P5	I	active	135
1	2	E	5	2%KB	P5	I	cyst	0
1	2	E	6	2%KB	P6	NO	active	677
1	2	E	6	2%KB	P6	NO	cyst	0
1	2	E	7	2%KB	P2	C	active	542
1	2	E	7	2%KB	P2	C	cyst	0
1	2	E	8	2%KB	NO	A	NA	0
1	2	E	9	2%KB	NO	E	NA	0
1	2	E	10	PAS	P6	I	active	948
1	2	E	10	PAS	P6	I	cyst	0
1	2	E	11	2%KB	P4	E	active	0
1	2	E	11	2%KB	P4	E	cyst	0
1	2	E	12	NA	NA	NA	NA	0
1	2	F	12	2%KB	P1	A	active	3250
1	2	F	12	2%KB	P1	A	cyst	0
1	2	F	11	PAS	P5	D	active	0
1	2	F	11	PAS	P5	D	cyst	0
1	2	F	10	NA	NA	NA	NA	0
1	2	F	9	2%KB	P2	D	active	677
1	2	F	9	2%KB	P2	D	cyst	0
1	2	F	8	NA	NA	NA	NA	0
1	2	F	7	PAS	NO	I	NA	0
1	2	F	6	2%KB	P6	E	active	1490
1	2	F	6	2%KB	P6	E	cyst	0
1	2	F	5	PAS	P4	B	active	813
1	2	F	5	PAS	P4	B	cyst	0
1	2	F	4	PAS	NO	G	NA	0
1	2	F	3	2%KB	P3	NO	active	135
1	2	F	3	2%KB	P3	NO	cyst	135
1	2	F	2	2%KB	P4	E	active	0
1	2	F	2	2%KB	P4	E	cyst	0
1	2	F	1	NA	NA	NA	NA	0
1	2	G	1	2%KB	P2	H	active	0
1	2	G	1	2%KB	P2	H	cyst	0
1	2	G	2	2%KB	P6	I	active	271
1	2	G	2	2%KB	P6	I	cyst	0
1	2	G	3	NA	NA	NA	NA	0
1	2	G	4	2%KB	P4	G	active	1083
1	2	G	4	2%KB	P4	G	cyst	0
1	2	G	5	NA	NA	NA	NA	0
1	2	G	6	2%KB	P6	A	active	406
1	2	G	6	2%KB	P6	A	cyst	0
1	2	G	7	PAS	P2	F	active	2031
1	2	G	7	PAS	P2	F	cyst	0
1	2	G	8	PAS	P3	C	active	271
1	2	G	8	PAS	P3	C	cyst	406
1	2	G	9	2%KB	P2	F	active	3386
1	2	G	9	2%KB	P2	F	cyst	135
1	2	G	10	NA	NA	NA	NA	0
1	2	G	11	PAS	P5	C	active	0
1	2	G	11	PAS	P5	C	cyst	0
1	2	G	12	2%KB	P2	I	active	677
1	2	G	12	2%KB	P2	I	cyst	0
1	2	H	12	2%KB	Blank	Blank	NA	0
1	2	H	11	2%KB	P6	I	active	542
1	2	H	11	2%KB	P6	I	cyst	0
1	2	H	10	2%KB	P4	H	active	0
1	2	H	10	2%KB	P4	H	cyst	0
1	2	H	9	2%KB	P3	B	active	542
1	2	H	9	2%KB	P3	B	cyst	813
1	2	H	8	PAS	NO	F	NA	0
1	2	H	7	PAS	P2	B	active	406
1	2	H	7	PAS	P2	B	cyst	0
1	2	H	6	2%KB	P1	NO	active	2573
1	2	H	6	2%KB	P1	NO	cyst	0
1	2	H	5	2%KB	P5	H	active	0
1	2	H	5	2%KB	P5	H	cyst	0
1	2	H	4	2%KB	P2	D	active	406
1	2	H	4	2%KB	P2	D	cyst	0
1	2	H	3	2%KB	NO	C	NA	0
1	2	H	2	2%KB	P5	D	active	0
1	2	H	2	2%KB	P5	D	cyst	0
1	2	H	1	NA	NA	NA	NA	0
1	3	A	1	2%KB	P4	I	active	135
1	3	A	1	2%KB	P4	I	cyst	0
1	3	A	2	PAS	P1	A	active	5146
1	3	A	2	PAS	P1	A	cyst	0
1	3	A	3	NA	NA	NA	NA	0
1	3	A	4	2%KB	P4	G	active	542
1	3	A	4	2%KB	P4	G	cyst	0
1	3	A	5	PAS	P2	A	active	1490
1	3	A	5	PAS	P2	A	cyst	0
1	3	A	6	2%KB	P6	NO	active	406
1	3	A	6	2%KB	P6	NO	cyst	0
1	3	A	7	PAS	NA	NA	NA	0
1	3	A	8	PAS	P5	A	active	0
1	3	A	8	PAS	P5	A	cyst	0
1	3	A	9	PAS	P2	E	active	3250
1	3	A	9	PAS	P2	E	cyst	0
1	3	A	10	2%KB	P1	F	active	1354
1	3	A	10	2%KB	P1	F	cyst	0
1	3	A	11	NA	NA	NA	NA	0
1	3	A	12	PAS	P5	F	active	0
1	3	A	12	PAS	P5	F	cyst	0
1	3	B	12	PAS	P3	D	active	2031
1	3	B	12	PAS	P3	D	cyst	0
1	3	B	11	2%KB	NO	H	NA	0
1	3	B	10	PAS	P3	F	active	271
1	3	B	10	PAS	P3	F	cyst	1490
1	3	B	9	2%KB	P1	I	active	135
1	3	B	9	2%KB	P1	I	cyst	0
1	3	B	8	2%KB	P3	I	active	406
1	3	B	8	2%KB	P3	I	cyst	406
1	3	B	7	PAS	P1	D	active	4198
1	3	B	7	PAS	P1	D	cyst	0
1	3	B	6	2%KB	P1	A	active	2979
1	3	B	6	2%KB	P1	A	cyst	0
1	3	B	5	2%KB	P5	NO	active	135
1	3	B	5	2%KB	P5	NO	cyst	0
1	3	B	4	PAS	P3	B	active	677
1	3	B	4	PAS	P3	B	cyst	1219
1	3	B	3	2%KB	NO	I	NA	0
1	3	B	2	NA	NA	NA	NA	0
1	3	B	1	PAS	P4	F	active	406
1	3	B	1	PAS	P4	F	cyst	135
1	3	C	1	NA	NA	NA	NA	0
1	3	C	2	PAS	P6	D	active	3115
1	3	C	2	PAS	P6	D	cyst	0
1	3	C	3	2%KB	P5	D	active	0
1	3	C	3	2%KB	P5	D	cyst	0
1	3	C	4	PAS	P6	F	active	1760
1	3	C	4	PAS	P6	F	cyst	0
1	3	C	5	2%KB	NO	A	NA	0
1	3	C	6	2%KB	P2	G	active	2979
1	3	C	6	2%KB	P2	G	cyst	0
1	3	C	7	2%KB	P6	H	active	1083
1	3	C	7	2%KB	P6	H	cyst	0
1	3	C	8	2%KB	P3	D	active	1354
1	3	C	8	2%KB	P3	D	cyst	271
1	3	C	9	2%KB	P1	C	active	1490
1	3	C	9	2%KB	P1	C	cyst	135
1	3	C	10	PAS	NO	E	NA	0
1	3	C	11	2%KB	NO	C	NA	0
1	3	C	12	PAS	P3	E	active	1219
1	3	C	12	PAS	P3	E	cyst	1219
1	3	D	12	2%KB	P6	D	active	542
1	3	D	12	2%KB	P6	D	cyst	0
1	3	D	11	2%KB	P2	C	active	1083
1	3	D	11	2%KB	P2	C	cyst	0
1	3	D	10	PAS	P4	A	active	406
1	3	D	10	PAS	P4	A	cyst	271
1	3	D	9	NA	NA	NA	NA	0
1	3	D	8	PAS	P3	I	active	135
1	3	D	8	PAS	P3	I	cyst	406
1	3	D	7	2%KB	P6	I	active	271
1	3	D	7	2%KB	P6	I	cyst	0
1	3	D	6	PAS	P6	A	active	2031
1	3	D	6	PAS	P6	A	cyst	0
1	3	D	5	2%KB	P3	A	active	2167
1	3	D	5	2%KB	P3	A	cyst	271
1	3	D	4	PAS	P6	NO	active	2031
1	3	D	4	PAS	P6	NO	cyst	0
1	3	D	3	2%KB	P4	H	active	135
1	3	D	3	2%KB	P4	H	cyst	0
1	3	D	2	PAS	P2	F	active	6636
1	3	D	2	PAS	P2	F	cyst	0
1	3	D	1	PAS	NO	H	NA	0
1	3	E	1	PAS	P5	H	active	0
1	3	E	1	PAS	P5	H	cyst	0
1	3	E	2	NA	NA	NA	NA	0
1	3	E	3	2%KB	P2	A	active	1760
1	3	E	3	2%KB	P2	A	cyst	0
1	3	E	4	2%KB	P5	A	active	0
1	3	E	4	2%KB	P5	A	cyst	0
1	3	E	5	2%KB	P2	E	active	1760
1	3	E	5	2%KB	P2	E	cyst	0
1	3	E	6	2%KB	P6	G	active	2031
1	3	E	6	2%KB	P6	G	cyst	0
1	3	E	7	2%KB	P6	F	active	1760
1	3	E	7	2%KB	P6	F	cyst	0
1	3	E	8	NA	NA	NA	NA	0
1	3	E	9	2%KB	P6	A	active	813
1	3	E	9	2%KB	P6	A	cyst	0
1	3	E	10	2%KB	P2	NO	active	4875
1	3	E	10	2%KB	P2	NO	cyst	0
1	3	E	11	2%KB	P2	B	active	0
1	3	E	11	2%KB	P2	B	cyst	135
1	3	E	12	2%KB	P4	E	active	0
1	3	E	12	2%KB	P4	E	cyst	135
1	3	F	12	NA	NA	NA	NA	0
1	3	F	11	PAS	P2	D	active	2302
1	3	F	11	PAS	P2	D	cyst	0
1	3	F	10	2%KB	P4	F	active	271
1	3	F	10	2%KB	P4	F	cyst	135
1	3	F	9	2%KB	P1	G	active	3521
1	3	F	9	2%KB	P1	G	cyst	0
1	3	F	8	PAS	P5	E	active	135
1	3	F	8	PAS	P5	E	cyst	0
1	3	F	7	PAS	P5	D	active	NA
1	3	F	7	PAS	P5	D	cyst	NA
1	3	F	6	2%KB	P3	B	active	813
1	3	F	6	2%KB	P3	B	cyst	542
1	3	F	5	PAS	P1	F	active	2844
1	3	F	5	PAS	P1	F	cyst	0
1	3	F	4	2%KB	P2	I	active	677
1	3	F	4	2%KB	P2	I	cyst	135
1	3	F	3	NA	NA	NA	NA	0
1	3	F	2	PAS	P5	B	active	0
1	3	F	2	PAS	P5	B	cyst	0
1	3	F	1	2%KB	P2	D	active	406
1	3	F	1	2%KB	P2	D	cyst	135
1	3	G	1	2%KB	NO	C	NA	0
1	3	G	2	2%KB	P1	I	active	542
1	3	G	2	2%KB	P1	I	cyst	406
1	3	G	3	PAS	P1	H	active	3927
1	3	G	3	PAS	P1	H	cyst	0
1	3	G	4	NA	NA	NA	NA	0
1	3	G	5	2%KB	P3	H	active	0
1	3	G	5	2%KB	P3	H	cyst	1083
1	3	G	6	2%KB	NO	G	NA	0
1	3	G	7	NA	NA	NA	NA	0
1	3	G	8	PAS	P6	H	active	1490
1	3	G	8	PAS	P6	H	cyst	0
1	3	G	9	PAS	P1	G	active	3521
1	3	G	9	PAS	P1	G	cyst	0
1	3	G	10	2%KB	P1	H	active	0
1	3	G	10	2%KB	P1	H	cyst	0
1	3	G	11	2%KB	NO	F	NA	0
1	3	G	12	PAS	Blank	Blank	NA	0
1	3	H	12	2%KB	Blank	Blank	NA	0
1	3	H	11	2%KB	P2	G	active	1354
1	3	H	11	2%KB	P2	G	cyst	0
1	3	H	10	2%KB	NO	E	NA	0
1	3	H	9	PAS	P1	NO	active	1490
1	3	H	9	PAS	P1	NO	cyst	0
1	3	H	8	NA	NA	NA	NA	0
1	3	H	7	PAS	P2	B	active	1354
1	3	H	7	PAS	P2	B	cyst	0
1	3	H	6	NA	NA	NA	NA	0
1	3	H	5	2%KB	P3	D	active	542
1	3	H	5	2%KB	P3	D	cyst	271
1	3	H	4	2%KB	P5	NO	active	0
1	3	H	4	2%KB	P5	NO	cyst	0
1	3	H	3	2%KB	P6	C	active	1219
1	3	H	3	2%KB	P6	C	cyst	0
1	3	H	2	2%KB	P1	F	active	3792
1	3	H	2	2%KB	P1	F	cyst	0
1	3	H	1	PAS	P4	C	active	677
1	3	H	1	PAS	P4	C	cyst	0
1	4	A	1	NA	NA	NA	NA	0
1	4	A	2	2%KB	P6	B	active	2167
1	4	A	2	2%KB	P6	B	cyst	0
1	4	A	3	2%KB	P4	G	active	677
1	4	A	3	2%KB	P4	G	cyst	0
1	4	A	4	PAS	P2	G	active	2708
1	4	A	4	PAS	P2	G	cyst	0
1	4	A	5	NA	NA	NA	NA	0
1	4	A	6	2%KB	P2	H	active	135
1	4	A	6	2%KB	P2	H	cyst	0
1	4	A	7	2%KB	P4	G	active	677
1	4	A	7	2%KB	P4	G	cyst	0
1	4	A	8	2%KB	P6	H	active	271
1	4	A	8	2%KB	P6	H	cyst	0
1	4	A	9	NA	NA	NA	NA	0
1	4	A	10	2%KB	P6	E	active	1625
1	4	A	10	2%KB	P6	E	cyst	0
1	4	A	11	NA	NA	NA	NA	0
1	4	A	12	PAS	P6	C	active	1760
1	4	A	12	PAS	P6	C	cyst	0
1	4	B	12	2%KB	P3	H	active	0
1	4	B	12	2%KB	P3	H	cyst	2302
1	4	B	11	2%KB	P3	G	active	6094
1	4	B	11	2%KB	P3	G	cyst	271
1	4	B	10	PAS	P1	B	active	2573
1	4	B	10	PAS	P1	B	cyst	0
1	4	B	9	2%KB	NO	H	NA	0
1	4	B	8	PAS	NO	D	NA	0
1	4	B	7	2%KB	P2	F	active	2844
1	4	B	7	2%KB	P2	F	cyst	0
1	4	B	6	PAS	P2	H	active	1354
1	4	B	6	PAS	P2	H	cyst	0
1	4	B	5	2%KB	P2	E	active	1896
1	4	B	5	2%KB	P2	E	cyst	0
1	4	B	4	2%KB	P4	C	active	0
1	4	B	4	2%KB	P4	C	cyst	0
1	4	B	3	PAS	P4	E	active	271
1	4	B	3	PAS	P4	E	cyst	677
1	4	B	2	2%KB	NO	G	NA	0
1	4	B	1	NA	NA	NA	NA	0
1	4	C	1	2%KB	P3	NO	active	406
1	4	C	1	2%KB	P3	NO	cyst	0
1	4	C	2	PAS	P4	H	active	0
1	4	C	2	PAS	P4	H	cyst	271
1	4	C	3	PAS	P1	E	active	4604
1	4	C	3	PAS	P1	E	cyst	135
1	4	C	4	2%KB	P6	E	active	813
1	4	C	4	2%KB	P6	E	cyst	0
1	4	C	5	PAS	P4	I	active	542
1	4	C	5	PAS	P4	I	cyst	0
1	4	C	6	NA	NA	NA	NA	0
1	4	C	7	2%KB	P3	F	active	4198
1	4	C	7	2%KB	P3	F	cyst	0
1	4	C	8	2%KB	P4	H	active	0
1	4	C	8	2%KB	P4	H	cyst	135
1	4	C	9	PAS	P3	NO	active	0
1	4	C	9	PAS	P3	NO	cyst	1625
1	4	C	10	NA	NA	NA	NA	0
1	4	C	11	PAS	P2	B	active	2031
1	4	C	11	PAS	P2	B	cyst	0
1	4	C	12	2%KB	NO	A	NA	0
1	4	D	12	PAS	NO	A	NA	0
1	4	D	11	PAS	P4	F	active	542
1	4	D	11	PAS	P4	F	cyst	0
1	4	D	10	NA	NA	NA	NA	0
1	4	D	9	NA	NA	NA	NA	0
1	4	D	8	2%KB	P5	A	active	0
1	4	D	8	2%KB	P5	A	cyst	0
1	4	D	7	PAS	P3	H	active	135
1	4	D	7	PAS	P3	H	cyst	542
1	4	D	6	2%KB	P5	C	active	0
1	4	D	6	2%KB	P5	C	cyst	0
1	4	D	5	PAS	P5	D	active	0
1	4	D	5	PAS	P5	D	cyst	0
1	4	D	4	2%KB	P6	NO	active	813
1	4	D	4	2%KB	P6	NO	cyst	0
1	4	D	3	PAS	P5	C	active	0
1	4	D	3	PAS	P5	C	cyst	0
1	4	D	2	2%KB	P5	D	active	271
1	4	D	2	2%KB	P5	D	cyst	0
1	4	D	1	PAS	P2	I	active	948
1	4	D	1	PAS	P2	I	cyst	0
1	4	E	1	2%KB	P4	D	active	135
1	4	E	1	2%KB	P4	D	cyst	0
1	4	E	2	2%KB	P4	F	active	948
1	4	E	2	2%KB	P4	F	cyst	0
1	4	E	3	NA	NA	NA	NA	0
1	4	E	4	PAS	P6	D	active	2302
1	4	E	4	PAS	P6	D	cyst	0
1	4	E	5	2%KB	NO	B	NA	0
1	4	E	6	2%KB	P5	G	active	135
1	4	E	6	2%KB	P5	G	cyst	0
1	4	E	7	PAS	P6	G	active	1083
1	4	E	7	PAS	P6	G	cyst	0
1	4	E	8	2%KB	NO	D	NA	0
1	4	E	9	2%KB	P6	F	active	542
1	4	E	9	2%KB	P6	F	cyst	0
1	4	E	10	2%KB	P6	G	active	677
1	4	E	10	2%KB	P6	G	cyst	0
1	4	E	11	NA	NA	NA	NA	0
1	4	E	12	PAS	P4	D	active	813
1	4	E	12	PAS	P4	D	cyst	0
1	4	F	12	PAS	P6	B	active	1490
1	4	F	12	PAS	P6	B	cyst	0
1	4	F	11	NA	NA	NA	NA	0
1	4	F	10	2%KB	P4	B	active	0
1	4	F	10	2%KB	P4	B	cyst	0
1	4	F	9	PAS	P6	E	active	1896
1	4	F	9	PAS	P6	E	cyst	0
1	4	F	8	NA	NA	NA	NA	0
1	4	F	7	2%KB	P5	B	active	135
1	4	F	7	2%KB	P5	B	cyst	0
1	4	F	6	2%KB	P5	B	active	135
1	4	F	6	2%KB	P5	B	cyst	0
1	4	F	5	NA	NA	NA	NA	0
1	4	F	4	NA	NA	NA	NA	0
1	4	F	3	PAS	P4	NO	active	0
1	4	F	3	PAS	P4	NO	cyst	406
1	4	F	2	PAS	P3	A	active	1219
